data,label,freq,split,len
bulo,ESP,2.8697049999999997,train,4
apuntado,ESP,3.632015,train,8
manolo,ESP,3.9174580000000003,train,6
frontino,ESP,2.7158900000000004,train,8
intima,ESP,2.6421040000000002,train,6
filantropo,ESP,2.968136,train,10
barrabas,ESP,2.873498,train,8
excursion,ESP,3.516521,train,9
nuez,ESP,3.471765,train,4
folclorica,ESP,3.4132279999999997,train,10
empujada,ESP,2.943134,train,8
albaceteno,ESP,2.583652,train,10
mear,ESP,2.532959,train,4
enzimatico,ESP,2.441189,train,10
nexo,ESP,3.502553,train,4
sodio,ESP,3.62404,train,5
contagiar,ESP,2.734486,train,9
mortalidad,ESP,3.990192,train,10
comicidad,ESP,3.182943,train,9
indecencia,ESP,2.774221,train,10
ver,ESP,5.596264,train,3
polucion,ESP,3.0394,train,8
etiquetado,ESP,3.9979169999999997,train,10
cernicalo,ESP,2.679087,train,9
permisible,ESP,2.6516490000000004,train,10
impune,ESP,3.0752509999999997,train,6
prejuicio,ESP,3.5190910000000004,train,9
recaer,ESP,3.392584,train,6
redondeo,ESP,2.767042,train,8
amenazador,ESP,3.4746129999999997,train,10
operar,ESP,4.03081,train,6
barbuda,ESP,3.076436,train,7
jota,ESP,3.299231,train,4
superiora,ESP,2.99607,train,9
salvia,ESP,2.844209,train,6
panero,ESP,2.797327,train,6
relacion,ESP,5.452526,train,8
taoista,ESP,2.721285,train,7
galega,ESP,3.237682,train,6
manzano,ESP,3.6930419999999997,train,7
anonima,ESP,3.8557690000000004,train,7
cuarto,ESP,5.054421,train,6
honorifico,ESP,3.3891410000000004,train,10
zaragozana,ESP,2.704895,train,10
verdad,ESP,5.306948,train,6
aprieto,ESP,3.119225,train,7
vereda,ESP,3.668016,train,6
novisima,ESP,2.632344,train,8
boreas,ESP,2.375093,train,6
nebuloso,ESP,2.7928029999999997,train,8
empirista,ESP,2.520371,train,9
vil,ESP,3.75107,train,3
realengo,ESP,3.140159,train,8
jaspe,ESP,2.729254,train,5
penoso,ESP,3.6811510000000003,train,6
economizar,ESP,3.085801,train,10
mundano,ESP,3.109465,train,7
enfermo,ESP,4.45714,train,7
mariachi,ESP,3.1707349999999996,train,8
rociada,ESP,2.507405,train,7
asesina,ESP,3.6737370000000005,train,7
amontonar,ESP,3.1620779999999997,train,9
imitacion,ESP,3.9116169999999997,train,9
drastico,ESP,3.175471,train,8
autora,ESP,4.0357769999999995,train,6
grosero,ESP,3.587682,train,7
albanes,ESP,3.411043,train,7
asador,ESP,3.011457,train,6
fascismo,ESP,3.8417779999999997,train,8
violado,ESP,3.4944940000000004,train,7
embarazado,ESP,2.5945549999999997,train,10
despojar,ESP,3.109465,train,8
greco,ESP,3.4175660000000003,train,5
rodillo,ESP,2.968136,train,7
galon,ESP,2.75232,train,5
