data,label,split,freq,len
emocion,ESP,train,4.328277,7
recolectar,ESP,train,3.3124870000000004,10
esquela,ESP,train,2.742219,7
felino,ESP,train,3.1707349999999996,6
rango,ESP,train,4.462524,5
accionar,ESP,train,3.3959989999999998,8
cancela,ESP,train,3.078796,7
aun,ESP,train,5.093105,3
hinchar,ESP,train,2.507405,7
diametro,ESP,train,4.2355540000000005,8
punto,ESP,train,5.601979,5
llana,ESP,train,3.5419650000000003,5
repostar,ESP,train,2.790524,8
viatico,ESP,train,2.4093970000000002,7
tuno,ESP,train,2.470812,4
frenetico,ESP,train,3.3165910000000003,9
grosera,ESP,train,3.338493,7
colonizar,ESP,train,3.2368650000000003,9
sancocho,ESP,train,2.6421040000000002,8
infligir,ESP,train,2.8772580000000003,8
roca,ESP,train,4.482814,4
entregado,ESP,train,4.224419999999999,9
genocidio,ESP,train,4.000462000000001,9
grano,ESP,train,4.197959,5
ruisenor,ESP,train,3.6090269999999998,8
pelvis,ESP,train,3.179223,6
fugitiva,ESP,train,3.14118,8
ciguena,ESP,train,3.659446,7
origen,ESP,train,5.28797,6
saxofon,ESP,train,3.38741,7
destino,ESP,train,4.891456,7
provincia,ESP,train,5.365833,9
cerebelo,ESP,train,2.8697049999999997,8
atavismo,ESP,train,2.507405,8
aluminio,ESP,train,3.8852339999999996,8
carnivora,ESP,train,2.635621,9
peor,ESP,train,4.817143,4
pinta,ESP,train,3.884682,5
opulento,ESP,train,2.8697049999999997,8
inminencia,ESP,train,3.152252,10
ronda,ESP,train,4.643357,5
ingenio,ESP,train,4.171591,7
retorcer,ESP,train,2.520371,8
colar,ESP,train,2.7621900000000004,5
hucha,ESP,train,2.632344,5
pletora,ESP,train,2.739657,7
semita,ESP,train,2.60868,6
alteracion,ESP,train,3.9322209999999997,10
emparejar,ESP,train,2.532959,9
puntilla,ESP,train,3.0141970000000002,8
teologia,ESP,train,4.17969,8
aliar,ESP,train,2.7928029999999997,5
tendon,ESP,train,3.117075,6
postrer,ESP,train,2.931726,7
veloz,ESP,train,3.725022,5
barricada,ESP,train,3.2417439999999997,9
erario,ESP,train,3.237682,6
bengala,ESP,train,3.3493589999999998,7
desnudo,ESP,train,4.0531,7
simon,ESP,train,4.249996,5
pocho,ESP,train,2.638874,5
mordaza,ESP,train,2.895586,7
repelente,ESP,train,2.754808,9
clinica,ESP,train,4.224167,7
chichon,ESP,train,2.9526790000000003,7
belicista,ESP,train,2.441189,9
marana,ESP,train,3.284092,6
nava,ESP,train,3.4218610000000003,4
islena,ESP,train,2.657898,6
boicoteo,ESP,train,3.0141970000000002,8
lagartija,ESP,train,3.1735830000000003,9
botero,ESP,train,3.375688,6
curtidor,ESP,train,2.375093,8
graderia,ESP,train,2.6421040000000002,8
ceda,ESP,train,3.2089990000000004,4
montanesa,ESP,train,2.860075,9
superponer,ESP,train,2.456252,10
