hitza	agerpen kopurua	maiztasuna milioi testu-hitzeko	silaba kopurua	auzokide kopurua
ere	224801	9894.67	2	10
bat	215931	9504.26	1	5
zen	193496	8516.77	1	8
egin	171844	7563.76	2	15
izan	170178	7490.43	2	15
baina	133067	5856.98	2	24
bere	107416	4727.94	2	22
dira	103067	4536.52	2	24
dute	89509	3939.76	2	10
behar	88755	3906.57	2	10
beste	79872	3515.59	2	11
hori	79623	3504.63	2	25
esan	78585	3458.94	2	13
zuten	76821	3381.3	2	14
edo	74369	3273.37	2	1
egiten	72881	3207.88	3	14
ziren	72235	3179.44	2	22
nahi	68359	3008.84	2	9
den	62459	2749.15	1	6
dela	58242	2563.54	2	15
zion	53885	2371.76	2	19
ari	52143	2295.09	2	15
baino	51614	2271.8	2	8
batean	51205	2253.8	3	19
bezala	50226	2210.71	3	7
izango	49417	2175.1	3	2
zituen	46956	2066.78	3	10
eman	46590	2050.67	2	17
ditu	45544	2004.63	2	19
duen	45408	1998.64	2	20
zer	45359	1996.49	1	7
dut	44356	1952.34	1	2
gero	43752	1925.76	2	13
gabe	43682	1922.67	2	14
bai	42527	1871.84	1	6
euskal	40626	1788.16	2	0
gure	39932	1757.62	2	16
lehen	39693	1747.1	2	8
baten	39361	1732.48	2	23
nuen	38816	1708.5	2	11
hartu	37895	1667.96	2	17
oso	35799	1575.7	2	6
artean	35694	1571.08	3	17
nire	35467	1561.09	2	8
dago	35054	1542.91	2	11
hau	34230	1506.64	1	6
ezin	33651	1481.16	2	13
dugu	33483	1473.76	2	4
orain	32589	1434.41	2	9
joan	32573	1433.71	2	23
hala	32419	1426.93	2	27
atzo	32062	1411.22	2	8
azken	32054	1410.86	2	7
haren	31750	1397.48	2	22
duela	31326	1378.82	3	15
gehiago	30448	1340.18	4	5
urte	30384	1337.36	2	13
zela	30366	1336.57	2	29
diren	30227	1330.45	2	18
dio	30211	1329.74	2	8
batek	29345	1291.63	2	21
berriz	28522	1255.4	2	11
hasi	28341	1247.44	2	13
egun	28284	1244.93	2	11
alde	27798	1223.54	2	14
dituzte	27264	1200.03	3	4
dena	27087	1192.24	2	23
nik	26800	1179.61	1	4
duten	26603	1170.94	2	14
arte	26281	1156.76	2	16
nola	26175	1152.1	2	17
hiru	26101	1148.84	2	12
egiteko	25902	1140.08	4	12
zegoen	25594	1126.53	3	11
hura	25541	1124.19	2	14
ikusi	25234	1110.68	3	6
egingo	25158	1107.34	3	6
bera	25098	1104.69	2	35
hitz	24685	1086.52	1	9
bada	24667	1085.72	2	23
lan	23901	1052.01	1	12
ematen	23862	1050.29	3	14
horiek	23496	1034.18	3	20
baita	23329	1026.83	2	20
beti	23262	1023.88	2	17
asko	23042	1014.2	2	13
uste	22966	1010.85	2	13
utzi	22770	1002.23	2	8
hain	22533	991.8	1	16
batzuk	22514	990.96	2	5
gaur	22350	983.74	1	11
bizi	22215	977.8	2	16
horrek	22098	972.65	2	10
guztiak	21960	966.57	3	9
orduan	21935	965.47	3	9
zituzten	21533	947.78	3	4
gauza	21500	946.33	2	12
batez	21396	941.75	2	22
ordea	21057	926.83	3	16
horren	20777	914.5	2	14
ahal	20729	912.39	2	12
beren	20606	906.98	2	28
egon	20355	895.93	2	16
berri	20326	894.65	2	16
beraz	20262	891.84	2	22
ondoren	20254	891.48	3	8
batera	20232	890.52	3	21
nintzen	20049	882.46	2	5
naiz	20048	882.42	1	14
zuela	19890	875.46	3	10
berak	19687	866.53	2	27
beharko	19615	863.36	3	4
hil	19578	861.73	1	4
direla	19415	854.56	3	6
horretan	19245	847.07	3	10
jarri	18991	835.89	2	13
gainera	18964	834.71	3	7
han	18773	826.3	1	4
arabera	18629	819.96	4	7
bertan	18317	806.23	2	17
behin	18257	803.59	2	8
duzu	17894	787.61	2	6
sartu	17849	785.63	2	10
arteko	17553	772.6	3	19
bakarrik	16933	745.31	3	7
ote	16728	736.29	2	7
hainbat	16642	732.5	2	3
atera	16538	727.92	3	21
ikusten	16464	724.67	3	11
lau	15904	700.02	1	7
handia	15820	696.32	3	13
zein	15763	693.81	1	21
hartan	15586	686.02	2	15
aurrean	15558	684.79	3	19
berean	15539	683.95	3	21
esaten	15530	683.56	3	10
jakin	15444	679.77	2	14
aldiz	15440	679.6	2	8
hemen	15391	677.44	2	8
eskatu	15342	675.28	3	10
berriro	15090	664.19	3	4
baizik	15060	662.87	2	3
zure	15023	661.24	2	13
herri	15004	660.4	2	15
oraindik	14945	657.81	3	2
gainean	14870	654.51	3	10
bigarren	14737	648.65	3	6
zidan	14730	648.34	2	14
honetan	14703	647.16	3	8
burua	14630	643.94	3	15
dituen	14513	638.79	3	13
aurrera	14451	636.06	3	9
aukera	14383	633.07	3	6
zitzaion	14274	628.27	3	5
gizon	14127	621.8	2	6
partida	14072	619.38	3	7
buruz	14001	616.26	2	10
ondo	13961	614.5	2	10
herriko	13923	612.82	3	12
zerbait	13797	607.28	2	3
parte	13675	601.91	2	16
erantzun	13614	599.22	3	2
ezer	13539	595.92	2	14
dutela	13529	595.48	3	6
hartzen	13429	591.08	2	23
aurka	13416	590.51	2	17
kontra	13375	588.7	2	6
arren	13359	588	2	23
etorri	13344	587.34	3	4
daude	13284	584.7	2	4
talde	13281	584.57	2	7
adierazi	13247	583.07	5	5
azaldu	13244	582.94	3	6
hor	13106	576.86	1	4
zioten	13011	572.68	3	12
lortu	12957	570.31	2	14
besterik	12894	567.53	3	7
horrela	12779	562.47	3	1
izaten	12722	559.96	3	10
lagun	12614	555.21	2	8
begira	12510	550.63	3	6
nion	12388	545.26	2	17
gisa	12357	543.9	2	17
gara	12345	543.37	2	33
izatea	12324	542.44	4	9
argi	12239	538.7	2	11
ongi	12140	534.35	2	5
nahiz	12112	533.11	2	10
egitea	12018	528.98	4	16
agertu	11847	521.45	3	6
egia	11840	521.14	3	18
egoera	11839	521.1	4	7
inguruan	11808	519.73	4	7
izanen	11776	518.32	3	11
non	11738	516.65	1	4
aurretik	11725	516.08	3	11
bide	11715	515.64	2	14
zien	11689	514.49	2	23
halako	11552	508.46	3	15
diote	11466	504.68	3	8
haien	11465	504.63	2	29
guztia	11397	501.64	3	10
denbora	11303	497.5	3	5
bitartean	11293	497.06	4	5
sortu	11284	496.67	2	13
egindako	11263	495.74	4	5
erabaki	11206	493.23	4	4
esku	11193	492.66	2	7
genuen	11135	490.11	3	4
gain	11053	486.5	1	16
omen	11044	486.1	2	12
haiek	11011	484.65	2	19
irabazi	11004	484.34	4	4
gertatu	10800	475.36	3	5
bost	10750	473.16	1	3
bakarra	10721	471.89	3	11
erran	10701	471.01	2	24
izateko	10689	470.48	4	6
galdu	10621	467.49	2	11
entzun	10606	466.83	2	2
eraman	10451	460	3	9
aita	10449	459.92	2	28
ona	10428	458.99	2	13
zergatik	10427	458.95	3	8
batetik	10411	458.24	3	16
geratu	10389	457.27	3	10
