spelling,count,percent,prevalence,len
aabda,113,98.2300884955752,2.00424102603107,5.0
aabdador,146,98.63013698630141,2.08440561335231,8.0
aabdanta,113,98.2300884955752,2.00424102603107,8.0
aabdante,137,95.62043795620441,1.66099063059601,8.0
aabdar,123,97.56097560975608,1.89349040571104,6.0
aadnador,153,99.3464052287582,2.2744128348686,8.0
aagnar,137,97.81021897810221,1.93201492110701,6.0
aagnas,112,100.0,2.5758293035489,6.0
aah,129,70.5426356589147,0.534123901878889,3.0
aahirar,149,97.98657718120809,1.96111360671888,7.0
aahite,106,99.0566037735849,2.18786763713045,6.0
aakdador,106,100.0,2.5758293035489,8.0
aakdanta,95,96.8421052631579,1.7958000940296701,8.0
aakdante,104,99.03846153846149,2.1829639959558502,8.0
aakste,87,98.8505747126437,2.13502925325161,6.0
aán,126,95.23809523809521,1.62442228428857,3.0
aanstar,108,98.14814814814821,1.98931299088332,7.0
aanste,127,98.42519685039369,2.04170197889513,6.0
aarobia,105,93.3333333333333,1.4683837982456598,7.0
aarobis,128,96.09375,1.7095790090003002,7.0
aarobís,106,95.2830188679245,1.6286070710186002,7.0
aaroned,122,99.1803278688525,2.2227967522097405,7.0
aastico,119,98.31932773109241,2.02102370826958,7.0
aatominómica,101,98.019801980198,1.96678570924846,12.0
aatominómico,88,96.5909090909091,1.7653795378901003,12.0
aayda,122,99.1803278688525,2.2227967522097405,5.0
aaydar,93,100.0,2.5758293035489,6.0
aaynar,119,100.0,2.5758293035489,6.0
aaynas,91,97.8021978021978,1.9307297364727198,6.0
aazda,100,98.0,1.96339753526866,5.0
aazdar,162,95.0617283950617,1.60826214450087,6.0
aaznador,133,96.24060150375941,1.72550729521157,8.0
aaztolá,103,96.11650485436891,1.7120188002469199,7.0
abacilla,105,78.09523809523809,0.7659361652617099,8.0
abacinar,64,51.5625,0.0387841271654788,8.0
abácola,103,81.55339805825241,0.886695766113415,7.0
abactivo,137,87.5912408759124,1.13662895436713,8.0
abafañable,110,92.7272727272727,1.42554403708045,10.0
abafañado,88,80.6818181818182,0.8550923939811608,9.0
abafañador,113,88.4955752212389,1.1805347180059,10.0
abagagradora,119,96.6386554621849,1.77103656268928,12.0
abagán,99,73.7373737373737,0.62800601443757,6.0
aballana,112,91.9642857142857,1.37507839107191,8.0
aballano,100,84.0,0.9805797993530341,8.0
abamicave,118,95.7627118644068,1.6751831370084,9.0
abamiquie,112,95.5357142857143,1.65269546838595,9.0
abanado,86,67.4418604651163,0.447310117657414,7.0
abanate,116,84.48275862068971,1.00014285507212,7.0
abancar,62,59.677419354838705,0.24250730554462,7.0
abanible,103,85.4368932038835,1.03997930709932,8.0
abanida,106,78.30188679245279,0.772830599477389,7.0
abanido,114,80.7017543859649,0.8558056976364,7.0
abapar,122,95.0819672131148,1.61009531747127,6.0
abapo,129,96.8992248062015,1.8029545755994698,5.0
abar,118,88.9830508474576,1.20517540960945,4.0
abaría,116,72.4137931034483,0.588484854902709,6.0
abarianchado,118,91.52542372881359,1.34757035678537,12.0
abarío,102,70.5882352941177,0.5354294341405279,6.0
abariombrado,122,90.983606557377,1.31495629840092,12.0
abarne,133,88.72180451127821,1.19188007819459,6.0
abarraliro,139,92.0863309352518,1.3829159225527599,10.0
abarrazira,137,91.970802919708,1.3754947824162298,10.0
abarre,93,87.09677419354841,1.11352301141345,6.0
abarza,125,78.4,0.776116842437003,6.0
abasagar,119,73.109243697479,0.609131960225187,8.0
abástico,57,61.4035087719298,0.28687174434237606,8.0
abatado,128,70.3125,0.5275488537927829,7.0
abaudora,91,87.9120879120879,1.15195233813799,8.0
abauñoneado,122,86.8852459016393,1.1038179167712399,11.0
abauñoneador,90,95.55555555555559,1.6546279023510801,12.0
abavar,131,96.9465648854962,1.80895486754785,6.0
abavo,111,94.5945945945946,1.5673751582087299,5.0
abazado,117,74.35897435897441,0.646906733389567,7.0
abcirado,109,90.8256880733945,1.3057094704656,8.0
abcisión,84,50.0,0.0,8.0
abdación,126,70.63492063492059,0.536766996639258,8.0
abdato,89,87.64044943820231,1.13896176710852,6.0
abdiento,108,85.1851851851852,1.0293114738112,8.0
abdisticismo,123,84.5528455284553,1.00301492833412,12.0
abdumpamente,75,94.6666666666667,1.57351334817535,12.0
abe,148,89.8648648648649,1.25170966865745,3.0
abecizante,115,87.8260869565217,1.1478185489883002,10.0
abecterador,133,94.7368421052632,1.5795475176863998,11.0
abecterino,110,95.4545454545455,1.64485362695147,10.0
abejachun,97,97.93814432989691,1.95295656427161,9.0
abejoplie,134,95.5223880597015,1.65140102139925,9.0
abemácee,116,97.4137931034483,1.8719978818664598,8.0
abemado,138,91.304347826087,1.33409137227955,7.0
abemilliro,100,96.0,1.69963288883676,10.0
abence,102,93.13725490196079,1.4542307118363402,6.0
abenenia,107,91.58878504672899,1.35147895750005,8.0
abeómeche,116,95.6896551724138,1.66785342358603,9.0
abercista,102,86.27450980392159,1.07636353071275,9.0
abermo,112,86.6071428571429,1.09121435817609,6.0
abernado,106,86.7924528301887,1.0995931360390199,8.0
abernecido,98,72.4489795918367,0.589523423207729,10.0
abesda,95,95.78947368421049,1.6778907888762098,6.0
abesdo,112,87.5,1.1323198208026002,6.0
abevobro,130,94.6153846153846,1.56913972749015,8.0
abevocho,133,97.7443609022556,1.92155596370011,8.0
abextico,123,95.1219512195122,1.61373293973245,8.0
