dataset,prob,Version,run,Training,Type,avg_dist
ESEN,60-40,SP-EN,0,Untrained,ES+,0.2446357334608789
ESEN,60-40,SP-EN,0,Untrained,ES-,0.272202568611133
ESEN,60-40,SP-EN,0,Untrained,ES+ v L1,0.4836461096789762
ESEN,60-40,SP-EN,0,Untrained,ES- v L1,0.4869344387026567
ESEN,60-40,SP-EN,1,Untrained,ES+,0.25681332517419414
ESEN,60-40,SP-EN,1,Untrained,ES-,0.26434888661837214
ESEN,60-40,SP-EN,1,Untrained,ES+ v L1,0.4800297009383176
ESEN,60-40,SP-EN,1,Untrained,ES- v L1,0.48729139011054745
ESEN,60-40,SP-EN,2,Untrained,ES+,0.2518815154186672
ESEN,60-40,SP-EN,2,Untrained,ES-,0.26531076145095334
ESEN,60-40,SP-EN,2,Untrained,ES+ v L1,0.4914910486149352
ESEN,60-40,SP-EN,2,Untrained,ES- v L1,0.4804198349822689
ESEN,60-40,SP-EN,3,Untrained,ES+,0.24498995501917456
ESEN,60-40,SP-EN,3,Untrained,ES-,0.28717522281502295
ESEN,60-40,SP-EN,3,Untrained,ES+ v L1,0.4852429411467522
ESEN,60-40,SP-EN,3,Untrained,ES- v L1,0.512097638501737
ESEN,60-40,SP-EN,4,Untrained,ES+,0.2405523893208714
ESEN,60-40,SP-EN,4,Untrained,ES-,0.2828399026382615
ESEN,60-40,SP-EN,4,Untrained,ES+ v L1,0.46301837233843907
ESEN,60-40,SP-EN,4,Untrained,ES- v L1,0.48007240835988546
ESEN,60-40,SP-EN,5,Untrained,ES+,0.2631453735648117
ESEN,60-40,SP-EN,5,Untrained,ES-,0.28021139564928643
ESEN,60-40,SP-EN,5,Untrained,ES+ v L1,0.5159317612365852
ESEN,60-40,SP-EN,5,Untrained,ES- v L1,0.5153901677800204
ESEN,60-40,SP-EN,6,Untrained,ES+,0.2581588275834163
ESEN,60-40,SP-EN,6,Untrained,ES-,0.2592343273001587
ESEN,60-40,SP-EN,6,Untrained,ES+ v L1,0.4862196317330438
ESEN,60-40,SP-EN,6,Untrained,ES- v L1,0.46728522164226466
ESEN,60-40,SP-EN,7,Untrained,ES+,0.254502437107672
ESEN,60-40,SP-EN,7,Untrained,ES-,0.2659354695531921
ESEN,60-40,SP-EN,7,Untrained,ES+ v L1,0.48923057160029215
ESEN,60-40,SP-EN,7,Untrained,ES- v L1,0.47817347500417995
ESEN,60-40,SP-EN,8,Untrained,ES+,0.282850657695379
ESEN,60-40,SP-EN,8,Untrained,ES-,0.27271189664844553
ESEN,60-40,SP-EN,8,Untrained,ES+ v L1,0.5079245975678507
ESEN,60-40,SP-EN,8,Untrained,ES- v L1,0.4875204748077597
ESEN,60-40,SP-EN,9,Untrained,ES+,0.2638708573836032
ESEN,60-40,SP-EN,9,Untrained,ES-,0.276640605147742
ESEN,60-40,SP-EN,9,Untrained,ES+ v L1,0.48332385151882523
ESEN,60-40,SP-EN,9,Untrained,ES- v L1,0.4825511478376918
ESEN,60-40,SP-EN,0,Trained,ES+,0.30574036994547277
ESEN,60-40,SP-EN,0,Trained,ES-,0.30654721458672174
ESEN,60-40,SP-EN,0,Trained,ES+ v L1,0.5987413117650019
ESEN,60-40,SP-EN,0,Trained,ES- v L1,0.5826540456706519
ESEN,60-40,SP-EN,1,Trained,ES+,0.2962504857744308
ESEN,60-40,SP-EN,1,Trained,ES-,0.28695329217346394
ESEN,60-40,SP-EN,1,Trained,ES+ v L1,0.5461961693395846
ESEN,60-40,SP-EN,1,Trained,ES- v L1,0.49959062276958355
ESEN,60-40,SP-EN,2,Trained,ES+,0.307840205694345
ESEN,60-40,SP-EN,2,Trained,ES-,0.29017537473412414
ESEN,60-40,SP-EN,2,Trained,ES+ v L1,0.5934032360756539
ESEN,60-40,SP-EN,2,Trained,ES- v L1,0.5551124290024021
ESEN,60-40,SP-EN,3,Trained,ES+,0.29056327608651755
ESEN,60-40,SP-EN,3,Trained,ES-,0.30446216736282783
ESEN,60-40,SP-EN,3,Trained,ES+ v L1,0.5563021426263418
ESEN,60-40,SP-EN,3,Trained,ES- v L1,0.5466792358819229
ESEN,60-40,SP-EN,4,Trained,ES+,0.30834686691795743
ESEN,60-40,SP-EN,4,Trained,ES-,0.3257288706593491
ESEN,60-40,SP-EN,4,Trained,ES+ v L1,0.5926241364602094
ESEN,60-40,SP-EN,4,Trained,ES- v L1,0.5881831667830665
ESEN,60-40,SP-EN,5,Trained,ES+,0.3152281329198121
ESEN,60-40,SP-EN,5,Trained,ES-,0.30076968252633945
ESEN,60-40,SP-EN,5,Trained,ES+ v L1,0.6117908042890104
ESEN,60-40,SP-EN,5,Trained,ES- v L1,0.5676778269705159
ESEN,60-40,SP-EN,6,Trained,ES+,0.29669685677386815
ESEN,60-40,SP-EN,6,Trained,ES-,0.2742519029844057
ESEN,60-40,SP-EN,6,Trained,ES+ v L1,0.5758645795725048
ESEN,60-40,SP-EN,6,Trained,ES- v L1,0.5370653816945206
ESEN,60-40,SP-EN,7,Trained,ES+,0.2995322931580936
ESEN,60-40,SP-EN,7,Trained,ES-,0.3006048436913341
ESEN,60-40,SP-EN,7,Trained,ES+ v L1,0.575212263870515
ESEN,60-40,SP-EN,7,Trained,ES- v L1,0.5430245254250453
ESEN,60-40,SP-EN,8,Trained,ES+,0.3117378025340872
ESEN,60-40,SP-EN,8,Trained,ES-,0.28668642272823414
ESEN,60-40,SP-EN,8,Trained,ES+ v L1,0.5565842422436704
ESEN,60-40,SP-EN,8,Trained,ES- v L1,0.5144758317860787
ESEN,60-40,SP-EN,9,Trained,ES+,0.30637833687237676
ESEN,60-40,SP-EN,9,Trained,ES-,0.3019250286067309
ESEN,60-40,SP-EN,9,Trained,ES+ v L1,0.5706538294573537
ESEN,60-40,SP-EN,9,Trained,ES- v L1,0.543927922403334
ESEN,100-00,MONO,0,Untrained,ES+,0.2945983964084882
ESEN,100-00,MONO,0,Untrained,ES-,0.3079041052923474
ESEN,100-00,MONO,0,Untrained,ES+ v L1,0.557490923550826
ESEN,100-00,MONO,0,Untrained,ES- v L1,0.5796924220329771
ESEN,100-00,MONO,1,Untrained,ES+,0.309393401459071
ESEN,100-00,MONO,1,Untrained,ES-,0.31847837950507013
ESEN,100-00,MONO,1,Untrained,ES+ v L1,0.5860864148094609
ESEN,100-00,MONO,1,Untrained,ES- v L1,0.5957764307276523
ESEN,100-00,MONO,2,Untrained,ES+,0.28202463878041445
ESEN,100-00,MONO,2,Untrained,ES-,0.3135737576759137
ESEN,100-00,MONO,2,Untrained,ES+ v L1,0.5643804538783874
ESEN,100-00,MONO,2,Untrained,ES- v L1,0.5899141834407561
ESEN,100-00,MONO,3,Untrained,ES+,0.3053880140201317
ESEN,100-00,MONO,3,Untrained,ES-,0.31653380111916085
ESEN,100-00,MONO,3,Untrained,ES+ v L1,0.5815156607687715
ESEN,100-00,MONO,3,Untrained,ES- v L1,0.5964962937223283
ESEN,100-00,MONO,4,Untrained,ES+,0.29023766196757284
ESEN,100-00,MONO,4,Untrained,ES-,0.29325568218963294
ESEN,100-00,MONO,4,Untrained,ES+ v L1,0.5771330767545778
ESEN,100-00,MONO,4,Untrained,ES- v L1,0.55838913892564
ESEN,100-00,MONO,5,Untrained,ES+,0.29366846938901586
ESEN,100-00,MONO,5,Untrained,ES-,0.2997352496571729
ESEN,100-00,MONO,5,Untrained,ES+ v L1,0.5520113735773663
ESEN,100-00,MONO,5,Untrained,ES- v L1,0.5637697474554679
ESEN,100-00,MONO,6,Untrained,ES+,0.28818990665341726
ESEN,100-00,MONO,6,Untrained,ES-,0.3179241994069113
ESEN,100-00,MONO,6,Untrained,ES+ v L1,0.5514798673918757
ESEN,100-00,MONO,6,Untrained,ES- v L1,0.5759973478425747
ESEN,100-00,MONO,7,Untrained,ES+,0.30841055871357603
ESEN,100-00,MONO,7,Untrained,ES-,0.3124061916024952
ESEN,100-00,MONO,7,Untrained,ES+ v L1,0.5693882486352657
ESEN,100-00,MONO,7,Untrained,ES- v L1,0.5784330866511294
ESEN,100-00,MONO,8,Untrained,ES+,0.27616154721610126
ESEN,100-00,MONO,8,Untrained,ES-,0.294206915301185
ESEN,100-00,MONO,8,Untrained,ES+ v L1,0.5384063369285567
ESEN,100-00,MONO,8,Untrained,ES- v L1,0.5519544119188362
ESEN,100-00,MONO,9,Untrained,ES+,0.2855245401388667
ESEN,100-00,MONO,9,Untrained,ES-,0.31513217641921626
