Group,run,Version,Train_Accuracy,Test_Accuracy
ESEN,0,SP-EN,85.60639964197807,77.6829268292683
ESEN,1,SP-EN,85.1476840456478,76.95121951219512
ESEN,2,SP-EN,85.39382412172746,78.23170731707317
ESEN,3,SP-EN,85.0805549339897,76.09756097560975
ESEN,4,SP-EN,85.1253076750951,77.1951219512195
ESEN,5,SP-EN,85.04139628552248,77.6829268292683
ESEN,6,SP-EN,85.02461400760797,77.5
ESEN,7,SP-EN,85.03020810024614,77.3780487804878
ESEN,8,SP-EN,85.03020810024614,77.4390243902439
ESEN,9,SP-EN,85.08614902662788,77.1951219512195
ESEN,0,MONO,85.35961736406355,77.13414634146342
ESEN,1,MONO,85.23095323338555,76.89024390243904
ESEN,2,MONO,85.42674647572163,77.8048780487805
ESEN,3,MONO,85.11907138062206,78.59756097560975
ESEN,4,MONO,85.28130006712911,77.4390243902439
ESEN,5,MONO,85.53862832848512,77.07317073170731
ESEN,6,MONO,85.00718952785857,76.46341463414635
ESEN,7,MONO,85.60575744014321,77.6219512195122
ESEN,8,MONO,85.5833810695905,77.3780487804878
ESEN,9,MONO,85.00159543522041,76.95121951219512
ESEU,0,SP-BQ,85.04139628552248,76.70731707317073
ESEU,1,SP-BQ,85.42738867755651,77.6219512195122
ESEU,2,SP-BQ,85.03020810024614,76.34146341463415
ESEU,3,SP-BQ,85.44417095547102,76.21951219512195
ESEU,4,SP-BQ,85.3211009174312,77.5
ESEU,5,SP-BQ,85.24837771313493,78.17073170731707
ESEU,6,SP-BQ,85.17006041620049,77.6219512195122
ESEU,7,SP-BQ,85.43857686283285,76.15853658536585
ESEU,8,SP-BQ,85.22600134258224,77.6219512195122
ESEU,9,SP-BQ,85.18124860147684,76.70731707317074
