dataset,prob,run,word,Group,label,block,loss,type,acc,acc_log
ESEN,60-40,0,sutno,SP-EN,ES-,0,4.0086350440979,reco,0.018158165737986565,-4.0086350440979
ESEN,60-40,0,bulmo,SP-EN,ES-,0,3.9764318466186523,reco,0.018752429634332657,-3.9764318466186523
ESEN,60-40,0,fosta,SP-EN,ES+,0,3.6178879737854004,reco,0.026839302852749825,-3.6178879737854004
ESEN,60-40,0,londa,SP-EN,ES+,0,4.085764408111572,reco,0.016810283064842224,-4.085764408111572
ESEN,60-40,0,dagmo,SP-EN,ES-,0,3.778041124343872,reco,0.022867441177368164,-3.778041124343872
ESEN,60-40,0,relta,SP-EN,ES+,0,3.817206382751465,reco,0.02198914624750614,-3.817206382751465
ESEN,60-40,0,fimbe,SP-EN,ES-,0,4.224641799926758,reco,0.014630574733018875,-4.224641799926758
ESEN,60-40,0,bompu,SP-EN,ES-,0,4.217662811279297,reco,0.014733041636645794,-4.217662811279297
ESEN,60-40,0,bipto,SP-EN,ES-,0,3.9330086708068848,reco,0.0195846576243639,-3.933008909225464
ESEN,60-40,0,pusta,SP-EN,ES+,0,3.864436388015747,reco,0.020974742248654366,-3.864436388015747
ESEN,60-40,0,rimpo,SP-EN,ES-,0,3.7199416160583496,reco,0.024235382676124573,-3.7199416160583496
ESEN,60-40,0,gurfo,SP-EN,ES-,0,3.9670372009277344,reco,0.018929434940218925,-3.9670372009277344
ESEN,60-40,0,ranta,SP-EN,ES+,0,3.9908485412597656,reco,0.018484020605683327,-3.9908487796783447
ESEN,60-40,0,susbe,SP-EN,ES-,0,3.537101984024048,reco,0.029097534716129303,-3.5371017456054688
ESEN,60-40,0,tista,SP-EN,ES+,0,3.5399084091186523,reco,0.029015984386205673,-3.5399084091186523
ESEN,60-40,0,rerta,SP-EN,ES+,0,3.81387996673584,reco,0.022062409669160843,-3.81387996673584
ESEN,60-40,0,dutno,SP-EN,ES-,0,4.154059410095215,reco,0.015700552612543106,-4.154059410095215
ESEN,60-40,0,lenda,SP-EN,ES+,0,3.895374298095703,reco,0.020335759967565536,-3.895374298095703
ESEN,60-40,0,rulgo,SP-EN,ES-,0,3.8899550437927246,reco,0.02044626511633396,-3.8899550437927246
ESEN,60-40,0,denra,SP-EN,ES+,0,3.741076707839966,reco,0.023728538304567337,-3.741076707839966
ESEN,60-40,0,perto,SP-EN,ES+,0,4.000823497772217,reco,0.018300561234354973,-4.000823497772217
ESEN,60-40,0,rutno,SP-EN,ES-,0,3.9594099521636963,reco,0.01907436177134514,-3.9594101905822754
ESEN,60-40,0,respa,SP-EN,ES+,0,4.079197883605957,reco,0.0169210322201252,-4.079197883605957
ESEN,60-40,0,rirbo,SP-EN,ES-,0,4.309360504150391,reco,0.013442144729197025,-4.309360504150391
ESEN,60-40,0,tunta,SP-EN,ES+,0,4.062168598175049,reco,0.017211655154824257,-4.062168598175049
ESEN,60-40,0,larta,SP-EN,ES+,0,3.9630227088928223,reco,0.01900557614862919,-3.9630229473114014
ESEN,60-40,0,mupto,SP-EN,ES-,0,3.941561222076416,reco,0.01941787637770176,-3.941561222076416
ESEN,60-40,0,donte,SP-EN,ES+,0,4.310458660125732,reco,0.013427388854324818,-4.310458660125732
ESEN,60-40,0,mimbo,SP-EN,ES-,0,4.450423717498779,reco,0.011673622764647007,-4.450423240661621
ESEN,60-40,0,polta,SP-EN,ES+,0,4.354240417480469,reco,0.012852195650339127,-4.354240417480469
ESEN,60-40,0,dumle,SP-EN,ES-,0,4.245304107666016,reco,0.014331375248730183,-4.245304107666016
ESEN,60-40,0,sulbe,SP-EN,ES-,0,4.154322147369385,reco,0.01569642685353756,-4.154322147369385
ESEN,60-40,0,penra,SP-EN,ES+,0,4.371464729309082,reco,0.01263272762298584,-4.371464252471924
ESEN,60-40,0,sumne,SP-EN,ES-,0,4.282709121704102,reco,0.013805207796394825,-4.28270959854126
ESEN,60-40,0,lesta,SP-EN,ES+,0,4.491433143615723,reco,0.011204573325812817,-4.491433143615723
ESEN,60-40,0,sasta,SP-EN,ES+,0,4.226583480834961,reco,0.014602196402847767,-4.226583480834961
ESEN,60-40,0,terta,SP-EN,ES+,0,4.312248229980469,reco,0.013403385877609253,-4.3122477531433105
ESEN,60-40,0,tadmi,SP-EN,ES-,0,4.377507209777832,reco,0.012556621804833412,-4.377507209777832
ESEN,60-40,0,mulmo,SP-EN,ES-,0,4.429654121398926,reco,0.011918608099222183,-4.429654598236084
ESEN,60-40,0,gunfo,SP-EN,ES-,0,4.4209980964660645,reco,0.012022226117551327,-4.4209980964660645
ESEN,60-40,0,nulpa,SP-EN,ES-,0,4.332684516906738,reco,0.013132243417203426,-4.332684516906738
ESEN,60-40,0,ronta,SP-EN,ES+,0,4.279682159423828,reco,0.013847066089510918,-4.27968168258667
ESEN,60-40,0,gulbe,SP-EN,ES-,0,4.6927971839904785,reco,0.0091610262170434,-4.6927971839904785
ESEN,60-40,0,derdo,SP-EN,ES+,0,4.747446060180664,reco,0.008673819713294506,-4.747446060180664
ESEN,60-40,0,sonto,SP-EN,ES+,0,4.409621715545654,reco,0.012159776873886585,-4.409621715545654
ESEN,60-40,0,talta,SP-EN,ES+,0,4.830009937286377,reco,0.007986443117260933,-4.830009937286377
ESEN,60-40,0,ripso,SP-EN,ES-,0,4.48173713684082,reco,0.011313741095364094,-4.48173713684082
ESEN,60-40,0,malga,SP-EN,ES+,0,4.409152030944824,reco,0.012165488675236702,-4.409152030944824
ESEN,60-40,0,malga,SP-EN,ES+,1,4.374443054199219,reco,0.012595156207680702,-4.374443054199219
ESEN,60-40,0,dutno,SP-EN,ES-,1,3.642911195755005,reco,0.026176024228334427,-3.642911434173584
ESEN,60-40,0,ronta,SP-EN,ES+,1,4.0778045654296875,reco,0.016944624483585358,-4.0778045654296875
ESEN,60-40,0,rerta,SP-EN,ES+,1,3.417724609375,reco,0.03278695419430733,-3.417724609375
ESEN,60-40,0,nulpa,SP-EN,ES-,1,4.053509712219238,reco,0.017361335456371307,-4.053509712219238
ESEN,60-40,0,dagmo,SP-EN,ES-,1,3.1578497886657715,reco,0.04251706227660179,-3.1578497886657715
ESEN,60-40,0,mulmo,SP-EN,ES-,1,4.038964748382568,reco,0.017615696415305138,-4.038964748382568
ESEN,60-40,0,rulgo,SP-EN,ES-,1,3.452677011489868,reco,0.0316607691347599,-3.452677011489868
ESEN,60-40,0,ripso,SP-EN,ES-,1,4.232607364654541,reco,0.014514495618641376,-4.232607364654541
ESEN,60-40,0,tista,SP-EN,ES+,1,3.109276533126831,reco,0.04463323578238487,-3.109276533126831
ESEN,60-40,0,larta,SP-EN,ES+,1,3.5889105796813965,reco,0.02762841060757637,-3.5889105796813965
ESEN,60-40,0,gulbe,SP-EN,ES-,1,4.246232032775879,reco,0.014318079687654972,-4.246232032775879
ESEN,60-40,0,sonto,SP-EN,ES+,1,4.093726634979248,reco,0.016676966100931168,-4.093726634979248
ESEN,60-40,0,rirbo,SP-EN,ES-,1,3.9251022338867188,reco,0.019740117713809013,-3.9251022338867188
ESEN,60-40,0,londa,SP-EN,ES+,1,3.46297550201416,reco,0.031336378306150436,-3.46297550201416
ESEN,60-40,0,fimbe,SP-EN,ES-,1,3.466846227645874,reco,0.03121531754732132,-3.466846466064453
ESEN,60-40,0,rutno,SP-EN,ES-,1,3.563244104385376,reco,0.02834671549499035,-3.563244104385376
ESEN,60-40,0,fosta,SP-EN,ES+,1,3.0016276836395264,reco,0.049706097692251205,-3.0016276836395264
ESEN,60-40,0,sasta,SP-EN,ES+,1,3.818962574005127,reco,0.02195056527853012,-3.818962335586548
ESEN,60-40,0,lesta,SP-EN,ES+,1,4.0583720207214355,reco,0.017277127131819725,-4.0583720207214355
ESEN,60-40,0,tadmi,SP-EN,ES-,1,3.901033878326416,reco,0.02022099494934082,-3.901033878326416
ESEN,60-40,0,ranta,SP-EN,ES+,1,3.604961395263672,reco,0.0271884985268116,-3.6049611568450928
ESEN,60-40,0,respa,SP-EN,ES+,1,3.6085243225097656,reco,0.027091791853308678,-3.6085245609283447
ESEN,60-40,0,mupto,SP-EN,ES-,1,3.4734508991241455,reco,0.031009836122393608,-3.4734508991241455
ESEN,60-40,0,bompu,SP-EN,ES-,1,3.5395195484161377,reco,0.029027270153164864,-3.5395195484161377
ESEN,60-40,0,polta,SP-EN,ES+,1,3.917889356613159,reco,0.019883016124367714,-3.917889356613159
ESEN,60-40,0,mimbo,SP-EN,ES-,1,3.840602397918701,reco,0.021480657160282135,-3.840602397918701
ESEN,60-40,0,relta,SP-EN,ES+,1,3.3477118015289307,reco,0.0351647287607193,-3.3477118015289307
ESEN,60-40,0,donte,SP-EN,ES+,1,3.867544651031494,reco,0.020909646525979042,-3.867544651031494
ESEN,60-40,0,penra,SP-EN,ES+,1,3.9261956214904785,reco,0.01971854828298092,-3.9261956214904785
ESEN,60-40,0,sulbe,SP-EN,ES-,1,3.7069830894470215,reco,0.024551479145884514,-3.7069830894470215
ESEN,60-40,0,terta,SP-EN,ES+,1,3.8807835578918457,reco,0.02063465118408203,-3.8807835578918457
ESEN,60-40,0,sutno,SP-EN,ES-,1,3.1999971866607666,reco,0.040762316435575485,-3.1999971866607666
ESEN,60-40,0,gurfo,SP-EN,ES-,1,3.421285629272461,reco,0.03267040476202965,-3.421285629272461
ESEN,60-40,0,susbe,SP-EN,ES-,1,3.124663829803467,reco,0.04395170137286186,-3.124663829803467
ESEN,60-40,0,bulmo,SP-EN,ES-,1,3.257750988006592,reco,0.038474831730127335,-3.257750988006592
ESEN,60-40,0,bipto,SP-EN,ES-,1,3.4047842025756836,reco,0.03321398049592972,-3.4047844409942627
ESEN,60-40,0,talta,SP-EN,ES+,1,4.414345741271973,reco,0.012102466076612473,-4.414346218109131
ESEN,60-40,0,pusta,SP-EN,ES+,1,3.2973971366882324,reco,0.03697928413748741,-3.2973973751068115
ESEN,60-40,0,perto,SP-EN,ES+,1,3.52785325050354,reco,0.02936789020895958,-3.527853488922119
ESEN,60-40,0,derdo,SP-EN,ES+,1,4.229374885559082,reco,0.014561492018401623,-4.229374885559082
ESEN,60-40,0,rimpo,SP-EN,ES-,1,3.399829387664795,reco,0.0333789587020874,-3.399829626083374
ESEN,60-40,0,dumle,SP-EN,ES-,1,3.7232232093811035,reco,0.024155981838703156,-3.7232232093811035
ESEN,60-40,0,lenda,SP-EN,ES+,1,3.4689934253692627,reco,0.031148362904787064,-3.468993663787842
ESEN,60-40,0,tunta,SP-EN,ES+,1,3.6215877532958984,reco,0.026740187779068947,-3.6215877532958984
ESEN,60-40,0,gunfo,SP-EN,ES-,1,3.9603729248046875,reco,0.019056007266044617,-3.9603729248046875
ESEN,60-40,0,sumne,SP-EN,ES-,1,3.8317434787750244,reco,0.021671799942851067,-3.8317434787750244
ESEN,60-40,0,denra,SP-EN,ES+,1,3.3454723358154297,reco,0.03524356335401535,-3.3454723358154297
ESEN,60-40,0,rimpo,SP-EN,ES-,2,3.240422248840332,reco,0.039147358387708664,-3.240422248840332
ESEN,60-40,0,larta,SP-EN,ES+,2,3.3093228340148926,reco,0.03654090687632561,-3.3093228340148926
ESEN,60-40,0,dutno,SP-EN,ES-,2,3.3160271644592285,reco,0.03629675135016441,-3.3160269260406494
ESEN,60-40,0,dumle,SP-EN,ES-,2,3.450641632080078,reco,0.03172527626156807,-3.450641632080078
ESEN,60-40,0,pusta,SP-EN,ES+,2,2.9934585094451904,reco,0.05011381208896637,-2.9934585094451904
ESEN,60-40,0,denra,SP-EN,ES+,2,3.152690887451172,reco,0.042736977338790894,-3.1526906490325928
ESEN,60-40,0,mimbo,SP-EN,ES-,2,3.3836777210235596,reco,0.0339224599301815,-3.3836779594421387
ESEN,60-40,0,rulgo,SP-EN,ES-,2,3.2019078731536865,reco,0.04068451002240181,-3.2019078731536865
ESEN,60-40,0,ronta,SP-EN,ES+,2,3.7215158939361572,reco,0.024197261780500412,-3.7215158939361572
ESEN,60-40,0,tunta,SP-EN,ES+,2,3.3241708278656006,reco,0.036002352833747864,-3.3241710662841797
ESEN,60-40,0,mulmo,SP-EN,ES-,2,3.5648231506347656,reco,0.028301993384957314,-3.5648231506347656
ESEN,60-40,0,susbe,SP-EN,ES-,2,2.8231680393218994,reco,0.05941740423440933,-2.8231680393218994
ESEN,60-40,0,donte,SP-EN,ES+,2,3.514092445373535,reco,0.02977481670677662,-3.514092206954956
ESEN,60-40,0,relta,SP-EN,ES+,2,3.1147921085357666,reco,0.044387731701135635,-3.1147921085357666
ESEN,60-40,0,ranta,SP-EN,ES+,2,3.369178056716919,reco,0.03441791236400604,-3.369178056716919
ESEN,60-40,0,fosta,SP-EN,ES+,2,2.8481051921844482,reco,0.057954031974077225,-2.8481051921844482
ESEN,60-40,0,derdo,SP-EN,ES+,2,3.796783208847046,reco,0.022442853078246117,-3.796782970428467
ESEN,60-40,0,rirbo,SP-EN,ES-,2,3.671614408493042,reco,0.025435373187065125,-3.671614408493042
ESEN,60-40,0,penra,SP-EN,ES+,2,3.564603805541992,reco,0.02830819971859455,-3.564603805541992
ESEN,60-40,0,sulbe,SP-EN,ES-,2,3.370922565460205,reco,0.03435793146491051,-3.370922327041626
ESEN,60-40,0,lenda,SP-EN,ES+,2,3.1266212463378906,reco,0.043865762650966644,-3.1266212463378906
ESEN,60-40,0,tadmi,SP-EN,ES-,2,3.511453151702881,reco,0.02985350787639618,-3.5114529132843018
ESEN,60-40,0,mupto,SP-EN,ES-,2,3.1576061248779297,reco,0.04252742603421211,-3.1576061248779297
ESEN,60-40,0,gunfo,SP-EN,ES-,2,3.564152240753174,reco,0.02832098677754402,-3.564152240753174
ESEN,60-40,0,sumne,SP-EN,ES-,2,3.448540210723877,reco,0.031792011111974716,-3.448540210723877
ESEN,60-40,0,perto,SP-EN,ES+,2,3.168266773223877,reco,0.0420764684677124,-3.168266534805298
ESEN,60-40,0,polta,SP-EN,ES+,2,3.5880470275878906,reco,0.027652284130454063,-3.5880470275878906
ESEN,60-40,0,malga,SP-EN,ES+,2,3.8419454097747803,reco,0.021451829001307487,-3.8419454097747803
ESEN,60-40,0,tista,SP-EN,ES+,2,2.9884586334228516,reco,0.05036500468850136,-2.9884586334228516
ESEN,60-40,0,rutno,SP-EN,ES-,2,3.3500192165374756,reco,0.03508368134498596,-3.3500192165374756
ESEN,60-40,0,gulbe,SP-EN,ES-,2,3.719777822494507,reco,0.024239355698227882,-3.7197775840759277
ESEN,60-40,0,terta,SP-EN,ES+,2,3.5191664695739746,reco,0.02962411753833294,-3.5191664695739746
ESEN,60-40,0,sasta,SP-EN,ES+,2,3.5040273666381836,reco,0.030076008290052414,-3.5040276050567627
ESEN,60-40,0,ripso,SP-EN,ES-,2,3.8215718269348145,reco,0.02189335972070694,-3.8215718269348145
ESEN,60-40,0,talta,SP-EN,ES+,2,4.049391746520996,reco,0.01743297278881073,-4.049391746520996
ESEN,60-40,0,gurfo,SP-EN,ES-,2,3.1490273475646973,reco,0.042893826961517334,-3.1490273475646973
ESEN,60-40,0,sonto,SP-EN,ES+,2,3.7342560291290283,reco,0.023890942335128784,-3.734255790710449
ESEN,60-40,0,londa,SP-EN,ES+,2,3.3164188861846924,reco,0.036282531917095184,-3.3164188861846924
ESEN,60-40,0,lesta,SP-EN,ES+,2,3.6970763206481934,reco,0.02479591593146324,-3.6970763206481934
ESEN,60-40,0,respa,SP-EN,ES+,2,3.2953550815582275,reco,0.0370548777282238,-3.2953553199768066
ESEN,60-40,0,rerta,SP-EN,ES+,2,3.3234312534332275,reco,0.03602899610996246,-3.3234312534332275
ESEN,60-40,0,fimbe,SP-EN,ES-,2,3.2567262649536133,reco,0.03851427882909775,-3.2567262649536133
ESEN,60-40,0,bipto,SP-EN,ES-,2,3.141326904296875,reco,0.04322541132569313,-3.141326665878296
ESEN,60-40,0,bompu,SP-EN,ES-,2,3.2547683715820312,reco,0.038589753210544586,-3.2547686100006104
ESEN,60-40,0,dagmo,SP-EN,ES-,2,3.086758852005005,reco,0.04564967751502991,-3.086758852005005
