model,param,run,train_KL,train_cosine,test_KL,test_cosine
CLOUD_32,32,0,1.9069901110111298,0.6268529069035892,3.1242053527126568,0.4642130562484202
CLOUD_32,32,1,1.9017509663532939,0.6285038247596737,3.1176127612349074,0.46609194303091295
CLOUD_32,32,2,1.900958429152497,0.6285780633001383,3.1213992907591317,0.46532787827648314
CLOUD_32,32,3,1.905752354283275,0.628190700367806,3.1432061568928273,0.46506523193710503
CLOUD_32,32,4,1.8889878447184167,0.6298471958354681,3.0914475137217337,0.46634812932738495
CLOUD_64,64,0,1.7103484210466404,0.6647534857022747,3.035769339915256,0.48509671171497704
CLOUD_64,64,1,1.6983194609462042,0.6659481253187655,3.056740905663324,0.48393268105761017
CLOUD_64,64,2,1.7010984048078481,0.665489765173187,3.0485272775353107,0.4832159020281999
CLOUD_64,64,3,1.69444291695704,0.667482363608557,3.035330765375832,0.4852431642755805
CLOUD_64,64,4,1.7019155014024583,0.6665323582749613,3.0673169075948747,0.48398484196482255
CLOUD_128,128,0,1.3585569717031123,0.7338549591707204,3.0889337241534527,0.5008443588009707
CLOUD_128,128,1,1.3641247692401266,0.7319566849956847,3.034999915480668,0.5047151840274183
CLOUD_128,128,2,1.37176213239283,0.7318279478405335,3.079966718113808,0.4998506210074175
CLOUD_128,128,3,1.3673264400459149,0.7315034308775737,3.090608290129693,0.5015699788562313
CLOUD_128,128,4,1.3632074683375852,0.7324311164376341,3.0767410762300407,0.501540554218635
CLOUD_256,256,0,0.7251282863431622,0.8664914643986343,3.3864606871884138,0.5092076820360185
CLOUD_256,256,1,0.7355256317394209,0.866390573573524,3.365579853352525,0.5077279708716319
CLOUD_256,256,2,0.7242328102735764,0.8670937873173844,3.3667910612081333,0.5093560127766104
CLOUD_256,256,3,0.7214820792928266,0.8670615341541934,3.3888757381974437,0.508971326915436
CLOUD_256,256,4,0.732884967028322,0.8641450061166877,3.3764103326246913,0.508955449415957
CLOUD_512,512,0,0.23335280454641624,0.9691277481871041,3.7308503124340233,0.5039076091306125
CLOUD_512,512,1,0.23087132984037928,0.969085593407608,3.797893421404931,0.5008390222883887
CLOUD_512,512,2,0.2214389592882573,0.9708082421076684,3.7296194843181367,0.5065369430295276
CLOUD_512,512,3,0.23324542696397,0.9687685846344658,3.751793436834886,0.5043360266325974
CLOUD_512,512,4,0.22842578116309667,0.9699050332697874,3.7716206128362475,0.5046525732262289
