model,param,run,train_KL,train_cosine,test_KL,test_cosine
2-gram,0.2,0,2.562725437389642,0.4996492899927884,3.4149252084921193,0.39216411302563753
3-gram,0.2,0,2.15284991891878,0.5887180959867352,3.179685405441964,0.437473888819939
4-gram,0.2,0,1.775232695498874,0.6666316716321935,3.0381756181295847,0.4646083562432248
5-gram,0.2,0,1.6176652021273046,0.7628132412784182,3.1661034036691262,0.4690380153050269
2-gram,0.4,1,2.5635080933871817,0.4996374738541245,3.3973940020693494,0.3921801926236812
3-gram,0.4,1,2.1665665815739388,0.5882160188396149,3.15051691409398,0.4372231758417556
4-gram,0.4,1,1.8816813578118325,0.65981199915415,3.0441857235514536,0.46321560555476987
5-gram,0.4,1,1.9678267767578845,0.7154229229249428,3.2802607942305935,0.4556585996144782
2-gram,0.6000000000000001,2,2.5642838064304105,0.49962485179070687,3.3867081024048495,0.3921746238785447
3-gram,0.6000000000000001,2,2.178893702170615,0.5877552097126238,3.1382439649057083,0.4368608470513735
4-gram,0.6000000000000001,2,1.965679160315397,0.653385262311357,3.0698982966144195,0.4609734897210668
5-gram,0.6000000000000001,2,2.2007683930714186,0.677968026961125,3.377111181445984,0.4421857893400267
2-gram,0.8,3,2.5650561535014287,0.4996119310852963,3.3788558397865436,0.3921615518677971
3-gram,0.8,3,2.190357265608208,0.5873183426980659,3.132138737028672,0.4365238080260653
4-gram,0.8,3,2.0363738150652053,0.6473966469128302,3.099119914943691,0.4584374189227282
5-gram,0.8,3,2.374226604051081,0.647850617960648,3.4563059675688748,0.42998671333761895
2-gram,1.0,4,2.5658265284929063,0.49959887768722944,3.3725893866815917,0.39214651661219707
3-gram,1.0,4,2.2011934404689573,0.5868931763545854,3.129151244682659,0.43621655820657373
4-gram,1.0,4,2.097941140123541,0.6417786570263796,3.1282999136802085,0.4557942423356372
5-gram,1.0,4,2.5114113141063643,0.6228888745766817,3.5222389085280015,0.41911978387325877
